no_of_patched_commits,no_of_cleaned_commits,patched_commit_ratio,repo_name,repo_stars
10,2087,0.004791566842357451,https://github.com/AUTOMATIC1111/stable-diffusion-webui,148518
3,352,0.008522727272727272,https://github.com/TheAlgorithms/Python,198496
21,2403,0.008739076154806492,https://github.com/numba/numba,10109
4,254,0.015748031496062992,https://github.com/secdev/scapy,10064
5,217,0.02304147465437788,https://github.com/microsoft/promptflow,9993
1,91,0.01098901098901099,https://github.com/giampaolo/psutil,9933
1,71,0.014084507042253521,https://github.com/thumbor/thumbor,9877
3,150,0.02,https://github.com/huggingface/text-generation-inference,9813
4,170,0.023529411764705882,https://github.com/pytorch/ignite,4587
2,35,0.05714285714285714,https://github.com/jazzband/django-silk,4561
5,436,0.011467889908256881,https://github.com/NVIDIA/warp,4559
1,149,0.006711409395973154,https://github.com/ThioJoe/YT-Spammer-Purge,4556
1,77,0.012987012987012988,https://github.com/dpgaspar/Flask-AppBuilder,4515
1,493,0.002028397565922921,https://github.com/ethereum/consensus-specs,3657
1,182,0.005494505494505495,https://github.com/freedomofpress/securedrop,3635
3,309,0.009708737864077669,https://github.com/grafana/oncall,3634
13,830,0.01566265060240964,https://github.com/pytorch/pytorch,87276
1,650,0.0015384615384615385,https://github.com/django/django,82462
3,1139,0.0026338893766461808,https://github.com/tensorflow/models,77412
2,580,0.0034482758620689655,https://github.com/saleor/saleor,20976
3,619,0.004846526655896607,https://github.com/stanfordnlp/dspy,20853
2,959,0.0020855057351407717,https://github.com/huggingface/diffusers,27694
4,313,0.012779552715654952,https://github.com/nicolargo/glances,27325
1,115,0.008695652173913044,https://github.com/getredash/redash,26717
2,313,0.006389776357827476,https://github.com/OpenDroneMap/ODM,4968
1,1690,0.000591715976331361,https://github.com/googleapis/google-cloud-python,4925
1,234,0.004273504273504274,https://github.com/LonamiWebs/Telethon,10270
2,673,0.0029717682020802376,https://github.com/tweepy/tweepy,10257
5,1034,0.004835589941972921,https://github.com/Azure/azure-cli,4101
1,120,0.008333333333333333,https://github.com/h2oai/wave,4027
2,189,0.010582010582010581,https://github.com/conda/conda,6543
3,52,0.057692307692307696,https://github.com/facebookresearch/metaseq,6518
2,469,0.0042643923240938165,https://github.com/abetlen/llama-cpp-python,6498
2,373,0.005361930294906166,https://github.com/edgedb/edgedb,13265
24,1481,0.016205266711681297,https://github.com/scipy/scipy,13265
3,1139,0.0026338893766461808,https://github.com/WeblateOrg/weblate,4454
10,1062,0.009416195856873822,https://github.com/beeware/toga,4448
8,761,0.010512483574244415,https://github.com/ansible/ansible,64079
4,1357,0.0029476787030213707,https://github.com/keras-team/keras,62410
3,404,0.007425742574257425,https://github.com/python/mypy,18950
1,111,0.009009009009009009,https://github.com/Delgan/loguru,18641
1,68,0.014705882352941176,https://github.com/spotify/luigi,18033
1,3,0.3333333333333333,https://github.com/microsoft/WSL,17946
1,239,0.0041841004184100415,https://github.com/huggingface/peft,17496
1,113,0.008849557522123894,https://github.com/w-okada/voice-changer,17175
32,1907,0.016780283167278448,https://github.com/spyder-ide/spyder,8442
3,138,0.021739130434782608,https://github.com/kivy/python-for-android,8435
8,466,0.017167381974248927,https://github.com/huggingface/accelerate,8391
8,389,0.02056555269922879,https://github.com/OctoPrint/OctoPrint,8388
2,12,0.16666666666666666,https://github.com/jiaaro/pydub,8352
1,368,0.002717391304347826,https://github.com/bmaltais/kohya_ss,8307
3,1734,0.0017301038062283738,https://github.com/jumpserver/jumpserver,25867
8,1695,0.00471976401179941,https://github.com/kovidgoyal/kitty,25739
5,412,0.012135922330097087,https://github.com/mitmproxy/mitmproxy,37477
1,25,0.04,https://github.com/babysor/MockingBird,35618
2,134,0.014925373134328358,https://github.com/openai/gym,35472
9,1056,0.008522727272727272,https://github.com/ray-project/ray,34812
12,2473,0.004852405984634048,https://github.com/lllyasviel/stable-diffusion-webui-forge,9766
2,277,0.007220216606498195,https://github.com/simonw/datasette,9703
1,2425,0.0004123711340206186,https://github.com/kovidgoyal/calibre,20280
6,639,0.009389671361502348,https://github.com/huggingface/datasets,19688
1,68,0.014705882352941176,https://github.com/mkdocs/mkdocs,19675
1,119,0.008403361344537815,https://github.com/VikParuchuri/marker,19112
1,132,0.007575757575757576,https://github.com/pytorch/torchtune,4923
1,107,0.009345794392523364,https://github.com/kernc/backtesting.py,4840
1,409,0.0024449877750611247,https://github.com/google/pytype,4838
2,895,0.0022346368715083797,https://github.com/al-one/hass-xiaomi-miot,3871
3,246,0.012195121951219513,https://github.com/freedomofpress/dangerzone,3852
1,146,0.00684931506849315,https://github.com/OWASP/Nettacker,3831
1,145,0.006896551724137931,https://github.com/has2k1/plotnine,3828
5,1226,0.004078303425774877,https://github.com/python-pillow/Pillow,12456
1,136,0.007352941176470588,https://github.com/microsoft/playwright-python,12435
1,395,0.002531645569620253,https://github.com/HKUDS/LightRAG,12347
6,712,0.008426966292134831,https://github.com/plasma-umass/scalene,12342
3,1092,0.0027472527472527475,https://github.com/fonttools/fonttools,4460
4,321,0.012461059190031152,https://github.com/open-mmlab/mmdetection,30270
2,112,0.017857142857142856,https://github.com/tqdm/tqdm,29040
1,82,0.012195121951219513,https://github.com/encode/django-rest-framework,28670
3,1199,0.0025020850708924102,https://github.com/numpy/numpy,28508
7,1154,0.006065857885615251,https://github.com/ansible/awx,14341
4,2378,0.001682085786375105,https://github.com/saltstack/salt,14276
6,940,0.006382978723404255,https://github.com/NVIDIA/NeMo,13143
2,732,0.00273224043715847,https://github.com/beetbox/beets,13077
1,21,0.047619047619047616,https://github.com/mementum/backtrader,13063
1,83,0.012048192771084338,https://github.com/SFTtech/openage,12849
1,373,0.002680965147453083,https://github.com/smicallef/spiderfoot,11761
4,403,0.009925558312655087,https://github.com/janeczku/calibre-web,11577
5,1925,0.0025974025974025974,https://github.com/h2oai/h2ogpt,11577
2,44,0.045454545454545456,https://github.com/tox-dev/tox,3728
4,153,0.026143790849673203,https://github.com/PINTO0309/PINTO_model_zoo,3678
4,291,0.013745704467353952,https://github.com/pydata/xarray,3677
14,1881,0.007442849548112706,https://github.com/mesonbuild/meson,5264
5,1237,0.004042037186742118,https://github.com/deepchem/deepchem,5215
1,105,0.009523809523809525,https://github.com/google-deepmind/dm_control,3921
1,196,0.00510204081632653,https://github.com/Consensys/mythril,3915
17,682,0.024926686217008796,https://github.com/buildbot/buildbot,5166
1,294,0.003401360544217687,https://github.com/ethereum/web3.py,5157
1,95,0.010526315789473684,https://github.com/ranaroussi/quantstats,5144
1,98,0.01020408163265306,https://github.com/jxnl/instructor,5141
1,187,0.0053475935828877,https://github.com/rsalmei/alive-progress,5123
1,772,0.0012953367875647669,https://github.com/infobyte/faraday,5122
2,772,0.0025906735751295338,https://github.com/NVIDIA/Megatron-LM,11420
10,557,0.017953321364452424,https://github.com/alicevision/Meshroom,11414
1,376,0.0026595744680851063,https://github.com/vnpy/vnpy,26556
1,17,0.058823529411764705,https://github.com/Instagram/MonkeyType,4817
1,148,0.006756756756756757,https://github.com/awslabs/gluonts,4776
2,403,0.004962779156327543,https://github.com/zyddnys/manga-image-translator,4755
5,852,0.005868544600938967,https://github.com/Azure/azure-sdk-for-python,4746
1,54,0.018518518518518517,https://github.com/google/tf-quant-finance,4701
10,647,0.015455950540958269,https://github.com/Tribler/tribler,4674
7,682,0.010263929618768328,https://github.com/gboeing/osmnx,4671
1,6,0.16666666666666666,https://github.com/jazzband/tablib,4650
7,1073,0.0065237651444548,https://github.com/internetarchive/openlibrary,5317
2,538,0.0037174721189591076,https://github.com/bojone/bert4keras,5302
1,36,0.027777777777777776,https://github.com/coleifer/huey,5286
1,32,0.03125,https://github.com/raspberrypi/documentation,5282
3,607,0.004942339373970346,https://github.com/lbryio/lbry-sdk,7200
1,25,0.04,https://github.com/theskumar/python-dotenv,7121
1,38,0.02631578947368421,https://github.com/MagicStack/asyncpg,7080
4,175,0.022857142857142857,https://github.com/bup/bup,7077
4,393,0.010178117048346057,https://github.com/ytdl-org/youtube-dl,134404
3,371,0.008086253369272238,https://github.com/sqlalchemy/sqlalchemy,8814
3,414,0.007246376811594203,https://github.com/cpacker/MemGPT,8707
1,65,0.015384615384615385,https://github.com/pywinauto/pywinauto,4636
5,656,0.007621951219512195,https://github.com/biolab/orange3,4611
2,230,0.008695652173913044,https://github.com/Acly/krita-ai-diffusion,4602
11,635,0.01732283464566929,https://github.com/qtile/qtile,4599
1,96,0.010416666666666666,https://github.com/facebookincubator/AITemplate,4587
2,132,0.015151515151515152,https://github.com/oppia/oppia,5616
1,152,0.006578947368421052,https://github.com/lucidrains/DALLE-pytorch,5599
1,47,0.02127659574468085,https://github.com/DEAP/deap,5563
7,834,0.008393285371702638,https://github.com/tobymao/sqlglot,5543
18,1593,0.011299435028248588,https://github.com/frappe/frappe,7789
1,725,0.001379310344827586,https://github.com/conan-io/conan,7770
1,22,0.045454545454545456,https://github.com/lucidrains/PaLM-rlhf-pytorch,7752
14,820,0.01707317073170732,https://github.com/angr/angr,7691
2,237,0.008438818565400843,https://github.com/brython-dev/brython,6262
1,27,0.037037037037037035,https://github.com/nadermx/backgroundremover,6247
1,2,0.5,https://github.com/skywind3000/ECDICT,6247
4,120,0.03333333333333333,https://github.com/joerick/pyinstrument,6132
1,44,0.022727272727272728,https://github.com/taojy123/KeymouseGo,6129
1,7,0.14285714285714285,https://github.com/snare/voltron,6107
5,977,0.00511770726714432,https://github.com/sphinx-doc/sphinx,6044
6,682,0.008797653958944282,https://github.com/explosion/spaCy,30616
39,1333,0.029257314328582147,https://github.com/spesmilo/electrum,7644
15,1588,0.009445843828715366,https://github.com/saulpw/visidata,7423
5,832,0.006009615384615385,https://github.com/tensorflow/datasets,4362
1,134,0.007462686567164179,https://github.com/davidteather/TikTok-Api,4341
7,281,0.02491103202846975,https://github.com/r0x0r/pywebview,4329
4,1046,0.0038240917782026767,https://github.com/geekan/MetaGPT,46440
7,878,0.007972665148063782,https://github.com/pandas-dev/pandas,44672
1,237,0.004219409282700422,https://github.com/mouredev/retos-programacion-2023,5342
1,50,0.02,https://github.com/bottlepy/bottle,8504
1,282,0.0035460992907801418,https://github.com/xonsh/xonsh,8497
4,1328,0.0030120481927710845,https://github.com/twisted/twisted,5659
20,1087,0.01839926402943882,https://github.com/archlinux/archinstall,5647
4,1792,0.002232142857142857,https://github.com/seleniumbase/SeleniumBase,4405
1,46,0.021739130434782608,https://github.com/PokeAPI/pokeapi,4383
1,35,0.02857142857142857,https://github.com/microsoft/graphrag,22841
1,87,0.011494252873563218,https://github.com/pytorch/examples,22762
9,1961,0.004589495155532891,https://github.com/frappe/erpnext,22703
3,870,0.0034482758620689655,https://github.com/mikel-brostrom/boxmot,6585
4,402,0.009950248756218905,https://github.com/PyCQA/isort,6558
21,2427,0.00865265760197775,https://github.com/commaai/openpilot,51725
22,931,0.023630504833512353,https://github.com/python/cpython,65345
13,2294,0.005666957279860506,https://github.com/guardicore/monkey,6488
1,74,0.013513513513513514,https://github.com/bee-san/pyWhat,6355
2,220,0.00909090909090909,https://github.com/facebookresearch/pytext,6328
7,1331,0.005259203606311044,https://github.com/Ultimaker/Cura,6297
2,303,0.006600660066006601,https://github.com/microsoft/autogen,40248
6,763,0.007863695937090432,https://github.com/getsentry/sentry,39650
5,455,0.01098901098901099,https://github.com/aio-libs/aiohttp,15304
6,326,0.018404907975460124,https://github.com/networkx/networkx,15248
2,36,0.05555555555555555,https://github.com/apprenticeharper/DeDRM_tools,14612
1,13,0.07692307692307693,https://github.com/powerline/powerline,14424
3,647,0.00463678516228748,https://github.com/matrix-org/synapse,11847
2,129,0.015503875968992248,https://github.com/Zulko/moviepy,11798
8,1007,0.007944389275074478,https://github.com/metabrainz/picard,3560
13,645,0.020155038759689922,https://github.com/facebookincubator/cinder,3554
7,901,0.00776914539400666,https://github.com/zulip/zulip,21908
1,95,0.010526315789473684,https://github.com/pypa/pipx,10975
2,39,0.05128205128205128,https://github.com/jacobgil/pytorch-grad-cam,10931
5,264,0.01893939393939394,https://github.com/facebookresearch/ParlAI,10502
2,1252,0.001597444089456869,https://github.com/zauberzeug/nicegui,10501
1,185,0.005405405405405406,https://github.com/mouredev/roadmap-retos-programacion,5901
10,417,0.023980815347721823,https://github.com/scikit-image/scikit-image,5873
1,26,0.038461538461538464,https://github.com/dmlc/gluon-cv,5852
1,32,0.03125,https://github.com/xfangfang/Macast,5823
1,166,0.006024096385542169,https://github.com/sammchardy/python-binance,5798
8,231,0.03463203463203463,https://github.com/open-mmlab/mmcv,6010
1,584,0.0017123287671232876,https://github.com/StackStorm/st2,5906
11,577,0.019064124783362217,https://github.com/pytorch/vision,16582
5,731,0.006839945280437756,https://github.com/ipython/ipython,16341
1,19,0.05263157894736842,https://github.com/tensorflow/tensor2tensor,15879
2,52,0.038461538461538464,https://github.com/karpathy/nanoGPT,39420
9,1256,0.007165605095541401,https://github.com/apache/airflow,38822
1,887,0.0011273957158962795,https://github.com/readthedocs/readthedocs.org,8082
1,16,0.0625,https://github.com/google-deepmind/pysc2,8070
1,707,0.0014144271570014145,https://github.com/platformio/platformio-core,8062
3,83,0.03614457831325301,https://github.com/docker/docker-py,6920
4,384,0.010416666666666666,https://github.com/intel-analytics/ipex-llm,6890
4,96,0.041666666666666664,https://github.com/amoffat/sh,6861
1,177,0.005649717514124294,https://github.com/Sanster/IOPaint,17166
8,104,0.07692307692307693,https://github.com/iperov/DeepFaceLab,16744
1,335,0.0029850746268656717,https://github.com/serengil/deepface,16624
3,392,0.007653061224489796,https://github.com/microsoft/qlib,16615
3,371,0.008086253369272238,https://github.com/zzzeek/sqlalchemy,3456
1,61,0.01639344262295082,https://github.com/Luodian/Otter,3450
1,56,0.017857142857142856,https://github.com/joxeankoret/diaphora,3444
2,212,0.009433962264150943,https://github.com/ktbyers/netmiko,3442
1,24,0.041666666666666664,https://github.com/skorokithakis/catt,3439
1,67,0.014925373134328358,https://github.com/automl/auto-sklearn,7678
1,1059,0.0009442870632672333,https://github.com/HypothesisWorks/hypothesis,7670
1,74,0.013513513513513514,https://github.com/edeng23/binance-trade-bot,7655
1,1165,0.0008583690987124463,https://github.com/Rapptz/discord.py,14274
2,152,0.013157894736842105,https://github.com/microsoft/nni,14134
2,205,0.00975609756097561,https://github.com/nltk/nltk,13746
1,121,0.008264462809917356,https://github.com/facebookresearch/mmf,5529
4,113,0.035398230088495575,https://github.com/CTFd/CTFd,5526
6,134,0.04477611940298507,https://github.com/open-mmlab/mmdetection3d,5517
1,159,0.006289308176100629,https://github.com/airbnb/knowledge-repo,5504
1,47,0.02127659574468085,https://github.com/dpkp/kafka-python,5485
4,529,0.007561436672967864,https://github.com/gitpython-developers/GitPython,4409
1,169,0.005917159763313609,https://github.com/TimDettmers/bitsandbytes,5435
1,127,0.007874015748031496,https://github.com/simonw/llm,5415
1,33,0.030303030303030304,https://github.com/boltgolt/howdy,5408
6,517,0.01160541586073501,https://github.com/Netflix/dispatch,5387
10,545,0.01834862385321101,https://github.com/pypa/pipenv,24967
6,669,0.008968609865470852,https://github.com/google/clusterfuzz,5347
4,1570,0.0025477707006369425,https://github.com/lutris/lutris,8243
2,196,0.01020408163265306,https://github.com/google/trax,8163
1,19,0.05263157894736842,https://github.com/xuebinqin/U-2-Net,8126
7,813,0.008610086100861008,https://github.com/locustio/locust,25349
1,217,0.004608294930875576,https://github.com/celery/celery,25219
1,116,0.008620689655172414,https://github.com/open-mmlab/mmpretrain,3549
1,31,0.03225806451612903,https://github.com/peterbrittain/asciimatics,3530
2,107,0.018691588785046728,https://github.com/pytorch/text,3526
1,38,0.02631578947368421,https://github.com/PyCQA/flake8,3503
2,185,0.010810810810810811,https://github.com/wbond/package_control,4745
1,15,0.06666666666666667,https://github.com/stephenmcd/mezzanine,4715
6,409,0.014669926650366748,https://github.com/dask/dask,12819
1,76,0.013157894736842105,https://github.com/getpelican/pelican,12677
7,394,0.017766497461928935,https://github.com/derrod/legendary,4435
3,420,0.007142857142857143,https://github.com/NVIDIA/NeMo-Guardrails,4429
1,29,0.034482758620689655,https://github.com/libratbag/piper,4427
1,87,0.011494252873563218,https://github.com/Bogdanp/dramatiq,4416
2,133,0.015037593984962405,https://github.com/facebookresearch/xformers,9059
2,171,0.011695906432748537,https://github.com/facebookresearch/pytorch3d,9047
3,242,0.012396694214876033,https://github.com/pennersr/django-allauth,8902
4,1305,0.0030651340996168583,https://github.com/astropy/astropy,4217
1,113,0.008849557522123894,https://github.com/geopandas/geopandas,4189
8,434,0.018433179723502304,https://github.com/dmlc/dgl,13669
1,110,0.00909090909090909,https://github.com/encode/httpx,13593
2,91,0.02197802197802198,https://github.com/bloomberg/memray,13542
3,77,0.03896103896103896,https://github.com/SYSTRAN/faster-whisper,13333
1,292,0.003424657534246575,https://github.com/geekcomputers/Python,32254
1,107,0.009345794392523364,https://github.com/certbot/certbot,31798
10,237,0.04219409282700422,https://github.com/facebookresearch/detectron2,31245
7,268,0.026119402985074626,https://github.com/facebookresearch/fairseq,30996
2,814,0.002457002457002457,https://github.com/localstack/localstack,57840
1,143,0.006993006993006993,https://github.com/ajenti/ajenti,7404
11,588,0.01870748299319728,https://github.com/Kozea/WeasyPrint,7349
4,1349,0.0029651593773165306,https://github.com/stanfordnlp/stanza,7333
4,146,0.0273972602739726,https://github.com/espressif/esptool,5715
2,52,0.038461538461538464,https://github.com/tyiannak/pyAudioAnalysis,5673
1,236,0.00423728813559322,https://github.com/davidhalter/jedi,5673
1,109,0.009174311926605505,https://github.com/facebookresearch/Kats,5665
8,484,0.01652892561983471,https://github.com/pyqtgraph/pyqtgraph,3675
1,100,0.01,https://github.com/knownsec/pocsuite3,3672
1,49,0.02040816326530612,https://github.com/joblib/joblib,3666
1,17,0.058823529411764705,https://github.com/bytedance/byteps,3662
1,15,0.06666666666666667,https://github.com/sissbruecker/linkding,5030
1,14,0.07142857142857142,https://github.com/huggingface/alignment-handbook,5024
8,1160,0.006896551724137931,https://github.com/mandiant/capa,4987
2,118,0.01694915254237288,https://github.com/jazzband/pip-tools,7818
1,150,0.006666666666666667,https://github.com/brycedrennan/imaginAIry,7794
4,356,0.011235955056179775,https://github.com/NVIDIA/garak,3884
2,177,0.011299435028248588,https://github.com/slackapi/python-slack-sdk,3879
2,40,0.05,https://github.com/google-deepmind/alphafold,13228
1,79,0.012658227848101266,https://github.com/pre-commit/pre-commit,13191
4,2318,0.001725625539257981,https://github.com/sympy/sympy,13189
11,745,0.01476510067114094,https://github.com/apache/tvm,12025
2,270,0.007407407407407408,https://github.com/huggingface/trl,12021
1,320,0.003125,https://github.com/argilla-io/argilla,3770
6,1151,0.005212858384013901,https://github.com/scikit-learn/scikit-learn,60884
1,113,0.008849557522123894,https://github.com/gevent/gevent,6290
2,35,0.05714285714285714,https://github.com/gorakhargosh/watchdog,6272
2,187,0.0106951871657754,https://github.com/pypa/hatch,6267
1,465,0.002150537634408602,https://github.com/pytest-dev/pytest,12307
2,223,0.008968609865470852,https://github.com/Gallopsled/pwntools,12263
2,9,0.2222222222222222,https://github.com/chenfei-wu/TaskMatrix,34548
1,565,0.0017699115044247787,https://github.com/huggingface/pytorch-image-models,33280
